frame;rangeResMag;bearingResMag;rangeResClr;height;width
347;0.036875;0.180528;0.036875;750;256
348;0.036875;0.180528;0.036875;750;256
349;0.036875;0.180528;0.036875;750;256
350;0.036875;0.180528;0.036875;750;256
351;0.036875;0.180528;0.036875;750;256
352;0.036875;0.180528;0.036875;750;256
353;0.036875;0.180528;0.036875;750;256
354;0.036875;0.180528;0.036875;750;256
355;0.036875;0.180528;0.036875;750;256
356;0.036875;0.180528;0.036875;750;256
357;0.036875;0.180528;0.036875;750;256
358;0.036875;0.180528;0.036875;750;256
359;0.036875;0.180528;0.036875;750;256
360;0.036875;0.180528;0.036875;750;256
361;0.036875;0.180528;0.036875;750;256
362;0.036875;0.180528;0.036875;750;256
363;0.036875;0.180528;0.036875;750;256
364;0.036875;0.180528;0.036875;750;256
365;0.036875;0.180528;0.036875;750;256
366;0.036875;0.180528;0.036875;750;256
367;0.036875;0.180528;0.036875;750;256
368;0.036875;0.180528;0.036875;750;256
369;0.036875;0.180528;0.036875;750;256
370;0.036875;0.180528;0.036875;750;256
371;0.036875;0.180528;0.036875;750;256
372;0.036875;0.180528;0.036875;750;256
373;0.036875;0.180528;0.036875;750;256
374;0.036875;0.180528;0.036875;750;256
375;0.036875;0.180528;0.036875;750;256
376;0.036875;0.180528;0.036875;750;256
377;0.036875;0.180528;0.036875;750;256
378;0.036875;0.180528;0.036875;750;256
379;0.036875;0.180528;0.036875;750;256
380;0.036875;0.180528;0.036875;750;256
381;0.036875;0.180528;0.036875;750;256
382;0.036875;0.180528;0.036875;750;256
383;0.036875;0.180528;0.036875;750;256
;;;;;
384;0.03625;0.180528;0.03625;718;256
385;0.035;0.180528;0.035;743;256
386;0.034375;0.180528;0.034375;737;256
387;0.03375;0.180528;0.03375;708;256
388;0.0325;0.180528;0.0325;714;256
389;0.0325;0.180528;0.0325;707;256
390;0.0325;0.180528;0.0325;707;256
391;0.0325;0.180528;0.0325;707;256
392;0.0325;0.180528;0.0325;707;256
393;0.0325;0.180528;0.0325;707;256
394;0.0325;0.180528;0.0325;707;256
395;0.0325;0.180528;0.0325;707;256
396;0.0325;0.180528;0.0325;707;256
397;0.0325;0.180528;0.0325;707;256
398;0.0325;0.180528;0.0325;707;256
399;0.0325;0.180528;0.0325;707;256
400;0.0325;0.180528;0.0325;707;256
401;0.0325;0.180528;0.0325;707;256
402;0.0325;0.180528;0.0325;707;256
403;0.0325;0.180528;0.0325;707;256
404;0.0325;0.180528;0.0325;707;256
405;0.0325;0.180528;0.0325;707;256
406;0.0325;0.180528;0.0325;707;256
407;0.0325;0.180528;0.0325;707;256
408;0.0325;0.180528;0.0325;707;256
409;0.0325;0.180528;0.0325;707;256
410;0.0325;0.180528;0.0325;707;256
411;0.0325;0.180528;0.0325;707;256
412;0.0325;0.180528;0.0325;707;256
413;0.0325;0.180528;0.0325;707;256
414;0.0325;0.180528;0.0325;707;256
415;0.0325;0.180528;0.0325;707;256
416;0.0325;0.180528;0.0325;707;256
417;0.0325;0.180528;0.0325;707;256
418;0.0325;0.180528;0.0325;707;256
419;0.0325;0.180528;0.0325;707;256
420;0.0325;0.180528;0.0325;707;256
421;0.0325;0.180528;0.0325;707;256
422;0.0325;0.180528;0.0325;707;256
423;0.0325;0.180528;0.0325;707;256
424;0.0325;0.180528;0.0325;707;256
425;0.0325;0.180528;0.0325;707;256
426;0.0325;0.180528;0.0325;707;256
427;0.0325;0.180528;0.0325;707;256
428;0.0325;0.180528;0.0325;707;256
429;0.0325;0.180528;0.0325;707;256
430;0.031875;0.180528;0.031875;713;256
431;0.031875;0.180528;0.031875;699;256
432;0.03125;0.180528;0.03125;705;256
433;0.03125;0.180528;0.03125;705;256
434;0.03125;0.180528;0.03125;705;256
435;0.030625;0.180528;0.030625;697;256
436;0.03;0.180528;0.03;688;256
437;0.03;0.180528;0.03;672;256
438;0.03;0.180528;0.03;672;256
439;0.029375;0.180528;0.029375;670;256
